date,Statid,tmed,tmax,tmin,deltat
2020-01-01,474,4.18,9.9,-0.1,10.0
2020-01-01,59,4.22,9.4,-0.6,10.0
2020-01-01,360,2.06,9.9,-0.1,10.0
2020-01-01,509,4.7,9.9,-0.1,10.0
2020-01-01,476,4.29,9.9,-0.1,10.0
2020-01-01,496,4.24,9.9,-0.1,10.0
2020-01-01,125,3.57,9.9,-0.1,10.0
2020-01-01,470,4.25,9.9,-0.1,10.0
2020-01-04,24,3.67,9.9,-0.1,10.0
2020-01-01,502,5.31,9.9,-0.1,10.0
2020-01-01,542,3.13,9.9,-0.1,10.0
2020-01-01,541,5.49,9.9,-0.1,10.0
2020-01-01,139,3.25,9.9,-0.1,10.0
2020-01-01,504,4.11,9.9,-0.1,10.0
